symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate
BRKS,NASDAQ,0.01,2.7,36.9983,415641,15378010,1.0529,1.2591,126,1/7/2019,1/11/2019
BROG,NASDAQ,0.01,9.8,10.2092,100072,1021655,0.016,0.0181,2,1/7/2019,1/11/2019
BRP,NASDAQ,0.01,6.31,15.855,1445717,22921843,0.2734,0.7642,76,1/7/2019,1/11/2019
BRPA,NASDAQ,0.01,9.54,10.4767,15101,158209,0.0489,0.036,4,1/7/2019,1/11/2019
BRPAR,NASDAQ,0.0001,5.09,0.1963,31900,6262,0.0282,0.0094,94,1/7/2019,1/11/2019
BRPAU,NASDAQ,0.01,9.35,10.6988,50,535,0.0574,0.0128,1,1/7/2019,1/11/2019
BRQS,NASDAQ,0.01,47.03,2.1264,449,955,0.1219,0.0435,4,1/7/2019,1/11/2019
BRY,NASDAQ,0.01,10.57,9.4651,607540,5750427,0.2807,0.4274,43,1/7/2019,1/11/2019
BSAE,NASDAQ,0.01,3.92,25.5302,1539,39291,0.0301,0.0302,3,1/7/2019,1/11/2019
BSBE,NASDAQ,0.01,3.86,25.9294,948,24581,0.026,0.0253,3,1/7/2019,1/11/2019
BSCE,NASDAQ,0.01,3.82,26.1583,889,23255,0.0348,0.0239,2,1/7/2019,1/11/2019
BSCT,NASDAQ,0.01,4.97,20.1119,2697,54242,0.0664,0.0298,3,1/7/2019,1/11/2019
BSDE,NASDAQ,0.01,3.78,26.4512,1113,29440,0.0439,0.0335,3,1/7/2019,1/11/2019
BSET,NASDAQ,0.01,7.35,13.6066,40814,555340,0.2757,0.5272,53,1/7/2019,1/11/2019
BSGM,NASDAQ,0.01,13.11,7.629,101741,776182,0.2121,0.3958,40,1/7/2019,1/11/2019
BSJR,NASDAQ,0.01,3.99,25.0417,1383,34633,0.0501,0.0313,3,1/7/2019,1/11/2019
BSML,NASDAQ,0.01,3.99,25.054,1500,37581,0.0198,0.0044,0,1/7/2019,1/11/2019
BSMM,NASDAQ,0.01,3.99,25.0406,1816,45474,0.0235,0.0099,1,1/7/2019,1/11/2019
BSMN,NASDAQ,0.01,3.99,25.0486,1558,39026,0.0293,0.0065,1,1/7/2019,1/11/2019
BSMO,NASDAQ,0.01,4,25.0237,1376,34433,0.0191,0.0064,1,1/7/2019,1/11/2019
BSMP,NASDAQ,0.01,4,25.0213,1619,40509,0.0231,0.0055,1,1/7/2019,1/11/2019
BSMQ,NASDAQ,0.01,4,25.01,849,21233,0.0275,0.0039,0,1/7/2019,1/11/2019
BSMR,NASDAQ,0.01,3.99,25.0529,140,3507,0.0448,0.0004,0,1/7/2019,1/11/2019
BSMS,NASDAQ,0.01,4,25.027,345,8634,0.0445,0.0011,0,1/7/2019,1/11/2019
BSMT,NASDAQ,0.01,4.01,24.9386,322,8030,0.0821,0.0037,0,1/7/2019,1/11/2019
BSQR,NASDAQ,0.01,82.3,1.215,20930,25430,0.0317,0.06,6,1/7/2019,1/11/2019
BSRR,NASDAQ,0.01,3.85,25.9491,29636,769028,0.4004,0.6278,63,1/7/2019,1/11/2019
BSTC,NASDAQ,0.01,1.79,55.8744,51420,2873062,0.9891,1.8617,186,1/7/2019,1/11/2019
BSVN,NASDAQ,0.01,5.59,17.891,6684,119583,0.3339,0.43,43,1/7/2019,1/11/2019
BTAI,NASDAQ,0.01,11.51,8.6898,57560,500185,0.4763,0.6081,61,1/7/2019,1/11/2019
BTEC,NASDAQ,0.01,3.06,32.6314,2174,70941,0.511,0.1229,12,1/7/2019,1/11/2019
BUSE,NASDAQ,0.01,3.92,25.5215,122229,3119467,0.3386,0.539,54,1/7/2019,1/11/2019
BVXV,NASDAQ,0.01,17.16,5.8284,5243,30558,0.1498,0.2086,21,1/7/2019,1/11/2019
BWAY,NASDAQ,0.01,10.3,9.7067,6981,67762,0.2767,0.2881,29,1/7/2019,1/11/2019
BWB,NASDAQ,0.01,8.52,11.7323,96581,1133117,0.1552,0.295,29,1/7/2019,1/11/2019
BWEN,NASDAQ,0.01,54.64,1.8303,32097,58747,0.0696,0.1297,13,1/7/2019,1/11/2019
BWFG,NASDAQ,0.01,3.66,27.3364,10269,280717,0.4154,0.6499,65,1/7/2019,1/11/2019
BWMX,NASDAQ,0.01,9.86,10.147,4016,40750,0.0091,0.0014,0,1/7/2019,1/11/2019
BYFC,NASDAQ,0.01,57.57,1.7369,10902,18936,0.0699,0.1109,11,1/7/2019,1/11/2019
BYND,NASDAQ,0.01,0.65,152.7824,4834864,738682126,7.5944,8.2598,826,1/7/2019,1/11/2019
BYSI,NASDAQ,0.01,5.74,17.4352,58095,1012898,0.9347,1.0215,102,1/7/2019,1/11/2019
BZUN,NASDAQ,0.01,2.16,46.2672,1372414,63497753,1.5755,1.9773,198,1/7/2019,1/11/2019
CAAS,NASDAQ,0.01,48.56,2.0594,14372,29598,0.0774,0.1026,10,1/7/2019,1/11/2019
CABA,NASDAQ,0.01,9.68,10.334,326300,3371984,0.2396,0.886,89,1/7/2019,1/11/2019
CAC,NASDAQ,0.01,2.31,43.3235,33255,1440723,0.5712,0.9457,95,1/7/2019,1/11/2019
CACC,NASDAQ,0.01,0.21,466.5051,82772,38613560,7.2339,10.5712,1057,1/7/2019,1/11/2019
CACG,NASDAQ,0.01,3.13,31.9717,18958,606119,0.293,0.2695,27,1/7/2019,1/11/2019
CAKE,NASDAQ,0.01,2.45,40.8171,812083,33146873,0.8186,1.1451,115,1/7/2019,1/11/2019
CALA,NASDAQ,0.01,27.33,3.6587,363592,1330274,0.1464,0.2189,22,1/7/2019,1/11/2019
CALB,NASDAQ,0.01,5.23,19.133,3562,68152,0.1605,0.0534,5,1/7/2019,1/11/2019
