symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate
LPLA,NASDAQ,0.01,1.26,79.2008,655364,51905353,1.4856,1.9512,195,1/7/2019,1/11/2019
LPSN,NASDAQ,0.01,2.76,36.271,682737,24763554,0.9761,1.251,125,1/7/2019,1/11/2019
LPTH,NASDAQ,0.0001,1.28,0.7798,88249,68817,0.0272,0.0458,458,1/7/2019,1/11/2019
LPTX,NASDAQ,0.01,63.51,1.5746,299693,471897,0.0781,0.111,11,1/7/2019,1/11/2019
LQDA,NASDAQ,0.01,18.37,5.4444,62808,341952,0.2812,0.4683,47,1/7/2019,1/11/2019
LQDT,NASDAQ,0.01,14.65,6.8244,69416,473723,0.1732,0.2595,26,1/7/2019,1/11/2019
LRCX,NASDAQ,0.01,0.46,219.3438,1742180,382136381,5.4948,5.5513,555,1/7/2019,1/11/2019
LRGE,NASDAQ,0.01,2.85,35.0655,19047,667893,0.3518,0.3361,34,1/7/2019,1/11/2019
LRMR,NASDAQ,0.01,0.81,124.0928,2979,369672,5.0715,8.1913,819,1/7/2019,1/11/2019
LSBK,NASDAQ,0.01,6.7,14.9173,2836,42305,0.1143,0.1063,11,1/7/2019,1/11/2019
LSCC,NASDAQ,0.01,5.41,18.4971,1876934,34717836,0.6138,0.8219,82,1/7/2019,1/11/2019
LSTR,NASDAQ,0.01,0.9,110.9544,302145,33524317,1.8454,2.603,260,1/7/2019,1/11/2019
LSXMA,NASDAQ,0.01,2.47,40.4059,432243,17465167,0.4161,0.6697,67,1/7/2019,1/11/2019
LSXMB,NASDAQ,0.01,2.48,40.2993,102,4111,0.4504,0.0092,1,1/7/2019,1/11/2019
LSXMK,NASDAQ,0.01,2.45,40.7523,515916,21024764,0.4175,0.6722,67,1/7/2019,1/11/2019
LTBR,NASDAQ,0.01,12.79,7.8191,134140,1048854,0.3897,0.6191,62,1/7/2019,1/11/2019
LTRPA,NASDAQ,0.01,9.9,10.0995,398551,4025166,0.2842,0.3848,38,1/7/2019,1/11/2019
LTRPB,NASDAQ,0.01,9.66,10.3527,78,808,0.2221,0.0128,1,1/7/2019,1/11/2019
LTRX,NASDAQ,0.01,28.76,3.477,53465,185898,0.1097,0.1348,13,1/7/2019,1/11/2019
LULU,NASDAQ,0.01,0.52,190.6273,1662256,316871373,3.3281,4.1408,414,1/7/2019,1/11/2019
LUMO,NASDAQ,0.01,70.92,1.41,301752,425470,0.0821,0.1017,10,1/7/2019,1/11/2019
LUNA,NASDAQ,0.01,17.85,5.6036,258469,1448357,0.1902,0.2797,28,1/7/2019,1/11/2019
LVGO,NASDAQ,0.01,3.73,26.8073,1294574,34704034,1.659,2.2391,224,1/7/2019,1/11/2019
LVHD,NASDAQ,0.01,3.05,32.7928,91795,3010215,0.2135,0.2577,26,1/7/2019,1/11/2019
LWAY,NASDAQ,0.01,36.8,2.7173,23848,64802,0.1072,0.2115,21,1/7/2019,1/11/2019
LX,NASDAQ,0.01,9.37,10.6695,913215,9743547,0.3027,0.4583,46,1/7/2019,1/11/2019
LXRX,NASDAQ,0.01,31.69,3.1557,2106501,6647485,0.4693,0.2692,27,1/7/2019,1/11/2019
LYFT,NASDAQ,0.01,1.96,50.9025,5976093,304198074,1.3907,2.1194,212,1/7/2019,1/11/2019
LYL,NASDAQ,0.01,85.73,1.1665,8201,9566,0.0625,0.0752,8,1/7/2019,1/11/2019
LYTS,NASDAQ,0.01,22.26,4.4928,66709,299710,0.1116,0.2367,24,1/7/2019,1/11/2019
MACK,NASDAQ,0.01,20.81,4.8052,61223,294189,0.1668,0.2499,25,1/7/2019,1/11/2019
MAGS,NASDAQ,0.01,22.84,4.3777,10001,43781,0.0969,0.1222,12,1/7/2019,1/11/2019
MANH,NASDAQ,0.01,1.24,80.3777,533934,42916387,1.9615,2.235,223,1/7/2019,1/11/2019
MANT,NASDAQ,0.01,1.45,68.7303,133369,9166491,1.3708,1.6874,169,1/7/2019,1/11/2019
MAR,NASDAQ,0.01,0.77,129.7299,1661208,215508348,1.8362,2.3593,236,1/7/2019,1/11/2019
MARA,NASDAQ,0.01,52.83,1.8927,95700,181131,0.0737,0.143,14,1/7/2019,1/11/2019
MARK,NASDAQ,0.0001,1.14,0.8777,365608,320894,0.0497,0.1062,1062,1/7/2019,1/11/2019
MARPS,NASDAQ,0.01,46.43,2.1538,4983,10732,0.0751,0.0781,8,1/7/2019,1/11/2019
MASI,NASDAQ,0.01,0.67,150.1871,314857,47287460,2.4281,3.5619,356,1/7/2019,1/11/2019
MAT,NASDAQ,0.01,8.83,11.3249,4635634,52498091,0.4548,0.4963,50,1/7/2019,1/11/2019
MATW,NASDAQ,0.01,2.98,33.5363,121378,4070569,0.7967,1.0073,101,1/7/2019,1/11/2019
MAYS,NASDAQ,0.01,2.78,35.9262,712,25579,0.7781,0.3163,32,1/7/2019,1/11/2019
MBB,NASDAQ,0.01,0.93,107.9693,1187871,128253600,0.1316,0.1638,16,1/7/2019,1/11/2019
MBCN,NASDAQ,0.01,4.4,22.706,5878,133466,0.3421,0.4537,45,1/7/2019,1/11/2019
MBII,NASDAQ,0.01,71.56,1.3974,112412,157085,0.044,0.076,8,1/7/2019,1/11/2019
MBIN,NASDAQ,0.01,6.07,16.4676,44980,740713,0.3493,0.6876,69,1/7/2019,1/11/2019
MBINO,NASDAQ,0.01,3.85,25.9728,68596,1781630,0.1286,0.244,24,1/7/2019,1/11/2019
MBINP,NASDAQ,0.01,3.67,27.2238,1479,40264,0.2876,0.1972,20,1/7/2019,1/11/2019
MBIO,NASDAQ,0.01,28.98,3.4508,259129,894202,0.1611,0.25,25,1/7/2019,1/11/2019
MBOT,NASDAQ,0.01,17.59,5.6845,82648,469813,0.403,0.4297,43,1/7/2019,1/11/2019
MBRX,NASDAQ,0.01,88.94,1.1244,232669,261613,0.0347,0.0561,6,1/7/2019,1/11/2019
MBSD,NASDAQ,0.01,4.25,23.5233,6269,147468,0.0325,0.0373,4,1/7/2019,1/11/2019
MBUU,NASDAQ,0.01,3.22,31.0147,255281,7917464,0.9289,1.1978,120,1/7/2019,1/11/2019
MBWM,NASDAQ,0.01,3.07,32.6206,37131,1211235,0.4951,0.7526,75,1/7/2019,1/11/2019
MCBC,NASDAQ,0.01,9.81,10.1927,41192,419858,0.1115,0.1817,18,1/7/2019,1/11/2019
MCBS,NASDAQ,0.01,6.76,14.7901,19973,295403,0.5138,0.2206,22,1/7/2019,1/11/2019
MCEF,NASDAQ,0.01,5.17,19.3419,3094,59844,0.0707,0.0417,4,1/7/2019,1/11/2019
MCEP,NASDAQ,0.01,12.24,8.1698,27402,223869,0.8164,0.8791,88,1/7/2019,1/11/2019
MCFT,NASDAQ,0.01,6.28,15.9266,290138,4620912,0.7001,0.6934,69,1/7/2019,1/11/2019
MCHI,NASDAQ,0.01,1.74,57.5359,3300641,189905351,0.6837,0.5917,59,1/7/2019,1/11/2019
MCHP,NASDAQ,0.01,1.09,91.5965,2057192,188431587,1.8402,2.2085,221,1/7/2019,1/11/2019
MCHX,NASDAQ,0.01,27.34,3.657,117655,430264,0.1107,0.1638,16,1/7/2019,1/11/2019
MCRB,NASDAQ,0.01,30.17,3.3141,340328,1127881,0.1415,0.2463,25,1/7/2019,1/11/2019
MCRI,NASDAQ,0.01,2.27,44.0314,39355,1732856,0.6792,1.0857,109,1/7/2019,1/11/2019
MDB,NASDAQ,0.01,0.72,139.5256,1489062,207762269,4.8208,7.1159,712,1/7/2019,1/11/2019
MDCA,NASDAQ,0.01,38.44,2.6013,248874,647396,0.0684,0.1333,13,1/7/2019,1/11/2019
MDGL,NASDAQ,0.01,1.08,92.336,172813,15956861,2.5486,4.4094,441,1/7/2019,1/11/2019
MDGS,NASDAQ,0.01,48.79,2.0494,83487,171098,0.0903,0.1283,13,1/7/2019,1/11/2019
MDIV,NASDAQ,0.01,5.44,18.3857,104878,1928255,0.0915,0.1167,12,1/7/2019,1/11/2019
MDJH,NASDAQ,0.01,36.09,2.7712,83813,232263,0.1808,0.2935,29,1/7/2019,1/11/2019
MDLZ,NASDAQ,0.01,1.83,54.4981,5719355,311693981,0.6025,0.8488,85,1/7/2019,1/11/2019
MDRR,NASDAQ,0.01,23.35,4.2827,8922,38210,0.1006,0.1187,12,1/7/2019,1/11/2019
MDRX,NASDAQ,0.01,9.64,10.3785,1634290,16961479,0.2174,0.3285,33,1/7/2019,1/11/2019
MDWD,NASDAQ,0.01,32.23,3.1025,49308,152978,0.1425,0.2192,22,1/7/2019,1/11/2019
MEDP,NASDAQ,0.01,1.31,76.2302,385176,29362044,1.8181,2.2514,225,1/7/2019,1/11/2019
MEDS,NASDAQ,0.01,90.82,1.1011,3689,4062,0.1,0.0786,8,1/7/2019,1/11/2019
MEET,NASDAQ,0.01,27.17,3.6802,1138160,4188656,0.1388,0.1776,18,1/7/2019,1/11/2019
MEIP,NASDAQ,0.01,56.01,1.7855,273503,488340,0.0619,0.11,11,1/7/2019,1/11/2019
MELI,NASDAQ,0.01,0.17,589.9942,448766,264769337,16.5498,20.0194,2002,1/7/2019,1/11/2019
MEOH,NASDAQ,0.01,2.74,36.5312,418094,15273476,1.1069,1.321,132,1/7/2019,1/11/2019
MERC,NASDAQ,0.01,8.09,12.3613,295693,3655150,0.3168,0.4322,43,1/7/2019,1/11/2019
MESA,NASDAQ,0.01,12.81,7.8051,325120,2537594,0.4175,0.4187,42,1/7/2019,1/11/2019
MESO,NASDAQ,0.01,17.54,5.6997,49200,280425,0.213,0.1803,18,1/7/2019,1/11/2019
METC,NASDAQ,0.01,23.78,4.2057,73812,310431,0.1923,0.2474,25,1/7/2019,1/11/2019
METX,NASDAQ,0.01,9.82,10.1859,1118,11388,0.0265,0.0127,1,1/7/2019,1/11/2019
MFH,NASDAQ,0.01,11.31,8.8389,8164,72161,0.4105,0.8528,85,1/7/2019,1/11/2019
MFIN,NASDAQ,0.01,17.95,5.572,148677,828428,0.1732,0.261,26,1/7/2019,1/11/2019
MFINL,NASDAQ,0.01,3.86,25.9264,826,21415,0.1702,0.0848,8,1/7/2019,1/11/2019
MFNC,NASDAQ,0.01,6.59,15.1837,12958,196750,0.2283,0.4222,42,1/7/2019,1/11/2019
MGEE,NASDAQ,0.01,1.32,75.478,141149,10653644,0.7322,1.3751,138,1/7/2019,1/11/2019
MGEN,NASDAQ,0.01,78.15,1.2796,216333,276820,0.1125,0.1458,15,1/7/2019,1/11/2019
MGI,NASDAQ,0.01,27.24,3.6706,1747413,6414054,0.1897,0.3297,33,1/7/2019,1/11/2019
MGIC,NASDAQ,0.01,11,9.0917,33426,303899,0.1574,0.2243,22,1/7/2019,1/11/2019
MGLN,NASDAQ,0.01,1.53,65.1698,212724,13863181,1.2493,1.9677,197,1/7/2019,1/11/2019
MGNX,NASDAQ,0.01,7.48,13.3759,440474,5891736,0.4374,0.6605,66,1/7/2019,1/11/2019
MGPI,NASDAQ,0.01,1.86,53.7173,187549,10074626,2.3229,2.1703,217,1/7/2019,1/11/2019
MGRC,NASDAQ,0.01,1.51,66.3949,94587,6280094,1.2813,1.7873,179,1/7/2019,1/11/2019
MGTA,NASDAQ,0.01,8.84,11.3119,66406,751178,0.4703,0.8293,83,1/7/2019,1/11/2019
MGTX,NASDAQ,0.01,4.77,20.9481,179778,3766008,0.7395,1.1357,114,1/7/2019,1/11/2019
MGYR,NASDAQ,0.01,8.36,11.9628,1158,13853,0.2266,0.118,12,1/7/2019,1/11/2019
MHLD,NASDAQ,0.0001,1.66,0.6033,246223,148546,0.0433,0.0659,659,1/7/2019,1/11/2019
MICT,NASDAQ,0.0001,1.6,0.6258,20515,12838,0.0389,0.0726,726,1/7/2019,1/11/2019
MIDD,NASDAQ,0.01,0.83,120.617,339335,40929570,2.2541,2.7422,274,1/7/2019,1/11/2019
MIK,NASDAQ,0.01,12.43,8.0459,3855009,31017017,0.3931,0.5427,54,1/7/2019,1/11/2019
MILN,NASDAQ,0.01,3.98,25.1278,48086,1208295,0.2525,0.2732,27,1/7/2019,1/11/2019
MIME,NASDAQ,0.01,2.37,42.216,513909,21695182,1.038,1.5259,153,1/7/2019,1/11/2019
MIND,NASDAQ,0.01,29.11,3.4349,34845,119689,0.124,0.2285,23,1/7/2019,1/11/2019
MINDP,NASDAQ,0.01,4.18,23.9262,4614,110395,0.1731,0.2156,22,1/7/2019,1/11/2019
MIRM,NASDAQ,0.01,8.96,11.1574,66987,747401,0.4487,0.8853,89,1/7/2019,1/11/2019
MIST,NASDAQ,0.01,5.14,19.4613,9810,190915,0.9655,1.3357,134,1/7/2019,1/11/2019
MITK,NASDAQ,0.01,10.09,9.9087,276958,2744294,0.1724,0.2715,27,1/7/2019,1/11/2019
MITO,NASDAQ,0.01,10.88,9.1904,31347,288091,0.3743,0.5612,56,1/7/2019,1/11/2019
MJCO,NASDAQ,0.01,11.46,8.7237,15598,136072,0.206,0.4062,41,1/7/2019,1/11/2019
MKGI,NASDAQ,0.01,43.67,2.2901,22319,51113,0.1307,0.2385,24,1/7/2019,1/11/2019
MKSI,NASDAQ,0.01,1.16,86.448,452834,39146594,2.6451,2.6271,263,1/7/2019,1/11/2019
MKTX,NASDAQ,0.01,0.28,355.4521,351003,124764753,9.4706,10.5302,1053,1/7/2019,1/11/2019
MLAB,NASDAQ,0.01,0.44,228.855,67883,15535364,5.7965,8.1709,817,1/7/2019,1/11/2019
MLCO,NASDAQ,0.01,4.67,21.4072,1639030,35087043,0.4495,0.5795,58,1/7/2019,1/11/2019
MLHR,NASDAQ,0.01,2.25,44.3809,425258,18873333,0.6582,0.975,98,1/7/2019,1/11/2019
MLND,NASDAQ,0.01,12.63,7.9173,33552,265641,0.3101,0.4813,48,1/7/2019,1/11/2019
MLVF,NASDAQ,0.01,4.63,21.5857,8591,185443,0.2511,0.3997,40,1/7/2019,1/11/2019
MMAC,NASDAQ,0.01,3.27,30.6005,8829,270172,0.3629,0.6397,64,1/7/2019,1/11/2019
MMLP,NASDAQ,0.01,20.27,4.9333,219269,1081720,0.2392,0.2826,28,1/7/2019,1/11/2019
MMSI,NASDAQ,0.01,2.69,37.1676,871042,32374541,1.882,1.3037,130,1/7/2019,1/11/2019
MMYT,NASDAQ,0.01,4.18,23.9488,222567,5330213,0.491,0.7351,74,1/7/2019,1/11/2019
MNCL,NASDAQ,0.01,10.01,9.991,59608,595544,0.0352,0.0173,2,1/7/2019,1/11/2019
MNCLU,NASDAQ,0.01,9.63,10.3882,4894,50840,0.0236,0.0266,3,1/7/2019,1/11/2019
MNDO,NASDAQ,0.01,43.97,2.2745,17492,39786,0.0215,0.039,4,1/7/2019,1/11/2019
MNKD,NASDAQ,0.01,83.42,1.1987,2034465,2438713,0.0388,0.0723,7,1/7/2019,1/11/2019
MNLO,NASDAQ,0.01,22.1,4.5252,49830,225491,0.175,0.3432,34,1/7/2019,1/11/2019
MNOV,NASDAQ,0.01,11.7,8.5472,96953,828677,0.312,0.3505,35,1/7/2019,1/11/2019
MNRO,NASDAQ,0.01,1.27,78.9456,316843,25013361,1.9853,2.3779,238,1/7/2019,1/11/2019
MNSB,NASDAQ,0.01,4.65,21.5277,11251,242208,0.3555,0.579,58,1/7/2019,1/11/2019
MNST,NASDAQ,0.01,1.68,59.3552,2749683,163207984,0.9501,1.3234,132,1/7/2019,1/11/2019
MNTA,NASDAQ,0.01,7.95,12.5719,469379,5900986,0.3267,0.5685,57,1/7/2019,1/11/2019
MNTX,NASDAQ,0.01,16.69,5.9931,47941,287315,0.1527,0.2742,27,1/7/2019,1/11/2019
MOBL,NASDAQ,0.01,14.94,6.6921,934158,6251479,0.1392,0.2068,21,1/7/2019,1/11/2019
MOFG,NASDAQ,0.01,3.37,29.6767,27430,814032,0.5867,0.8821,88,1/7/2019,1/11/2019
MOGO,NASDAQ,0.01,32.69,3.0594,13991,42804,0.1792,0.1831,18,1/7/2019,1/11/2019
MOMO,NASDAQ,0.01,2.96,33.8029,2300327,77757724,0.9636,1.1993,120,1/7/2019,1/11/2019
MOR,NASDAQ,0.01,3.53,28.3327,71617,2029103,0.5501,0.5137,51,1/7/2019,1/11/2019
MORF,NASDAQ,0.01,5.19,19.2691,78628,1515091,1.1638,2.2715,227,1/7/2019,1/11/2019
MORN,NASDAQ,0.01,0.65,153.3743,89641,13748626,2.2811,3.0676,307,1/7/2019,1/11/2019
MOSY,NASDAQ,0.01,35.77,2.7957,313756,877168,0.1138,0.2181,22,1/7/2019,1/11/2019
MOTS,NASDAQ,0.01,40.78,2.4522,91586,224587,0.0817,0.1572,16,1/7/2019,1/11/2019
MOXC,NASDAQ,0.01,54.62,1.8308,11521,21093,0.119,0.1469,15,1/7/2019,1/11/2019
MPAA,NASDAQ,0.01,5.99,16.6926,125936,2102199,0.4128,0.6498,65,1/7/2019,1/11/2019
MPB,NASDAQ,0.01,4,24.9962,7973,199295,0.5528,0.6952,70,1/7/2019,1/11/2019
MPWR,NASDAQ,0.01,0.67,148.8898,344415,51279880,3.0716,3.9984,400,1/7/2019,1/11/2019
MRAM,NASDAQ,0.01,16.07,6.2239,66969,416808,0.2072,0.301,30,1/7/2019,1/11/2019
MRBK,NASDAQ,0.01,5.71,17.5053,5544,97049,0.2089,0.1769,18,1/7/2019,1/11/2019
MRCC,NASDAQ,0.01,9.31,10.7449,110484,1187140,0.1282,0.1948,19,1/7/2019,1/11/2019
MRCCL,NASDAQ,0.01,3.96,25.26,3634,91795,0.1191,0.137,14,1/7/2019,1/11/2019
MRCY,NASDAQ,0.01,1.29,77.7066,525798,40857975,1.8978,2.3385,234,1/7/2019,1/11/2019
MREO,NASDAQ,0.01,32.42,3.0848,21227,65481,0.1842,0.2571,26,1/7/2019,1/11/2019
MRIN,NASDAQ,0.01,42.5,2.353,17895,42107,0.0931,0.1874,19,1/7/2019,1/11/2019
MRKR,NASDAQ,0.01,18.29,5.4687,451112,2466996,0.333,0.3734,37,1/7/2019,1/11/2019
MRLN,NASDAQ,0.01,4.26,23.4991,15255,358479,0.4049,0.66,66,1/7/2019,1/11/2019
MRNA,NASDAQ,0.01,6.69,14.9502,2081548,31119559,0.4837,0.8093,81,1/7/2019,1/11/2019
MRNS,NASDAQ,0.01,55.14,1.8137,1455801,2640386,0.3146,0.1483,15,1/7/2019,1/11/2019
MRSN,NASDAQ,0.01,39.06,2.5604,233713,598399,0.1038,0.178,18,1/7/2019,1/11/2019
MRTN,NASDAQ,0.01,4.97,20.1047,177900,3576626,0.4759,0.6074,61,1/7/2019,1/11/2019
MRTX,NASDAQ,0.01,1.11,89.729,597687,53629857,3.309,4.1541,415,1/7/2019,1/11/2019
MRUS,NASDAQ,0.01,6.1,16.3881,58998,966865,0.7058,1.0428,104,1/7/2019,1/11/2019
MRVL,NASDAQ,0.01,4.03,24.8215,7611570,188930585,0.534,0.6462,65,1/7/2019,1/11/2019
MSBF,NASDAQ,0.01,6.23,16.0448,5184,83176,0.2187,0.1757,18,1/7/2019,1/11/2019
MSBI,NASDAQ,0.01,3.82,26.1903,60063,1573068,0.3345,0.593,59,1/7/2019,1/11/2019
MSEX,NASDAQ,0.01,1.61,61.9631,60760,3764878,0.8817,1.3024,130,1/7/2019,1/11/2019
MSFT,NASDAQ,0.01,0.72,137.9935,24051579,3318961567,1.791,2.2106,221,1/7/2019,1/11/2019
MSON,NASDAQ,0.01,4.87,20.5524,45928,943931,0.6094,1.1521,115,1/7/2019,1/11/2019
MSTR,NASDAQ,0.01,0.72,139.2378,102052,14209496,2.7955,3.4321,343,1/7/2019,1/11/2019
MSVB,NASDAQ,0.01,7.78,12.8596,4269,54898,0.1019,0.0702,7,1/7/2019,1/11/2019
MTBC,NASDAQ,0.01,22.83,4.3809,27766,121640,0.0947,0.1616,16,1/7/2019,1/11/2019
MTBCP,NASDAQ,0.01,3.69,27.1291,10102,274058,0.1267,0.154,15,1/7/2019,1/11/2019
MTC,NASDAQ,0.01,15.68,6.3765,317491,2024481,1.1845,1.2649,126,1/7/2019,1/11/2019
MTCH,NASDAQ,0.01,1.3,77.0748,2152828,165928788,2.6259,3.001,300,1/7/2019,1/11/2019
MTEM,NASDAQ,0.01,15.28,6.5443,116236,760683,0.2384,0.4112,41,1/7/2019,1/11/2019
MTEX,NASDAQ,0.01,6.11,16.379,2662,43601,0.3879,0.3943,39,1/7/2019,1/11/2019
MTLS,NASDAQ,0.01,5.35,18.6755,83507,1559535,0.4734,0.8334,83,1/7/2019,1/11/2019
MTP,NASDAQ,0.01,15,6.6648,150634,1003945,0.461,0.6316,63,1/7/2019,1/11/2019
MTRX,NASDAQ,0.01,5.38,18.5845,146065,2714545,0.531,0.7045,70,1/7/2019,1/11/2019
MTSC,NASDAQ,0.01,1.77,56.5053,119651,6760916,0.9738,1.2701,127,1/7/2019,1/11/2019
MTSI,NASDAQ,0.01,4.98,20.0641,596881,11975880,0.5474,0.7742,77,1/7/2019,1/11/2019
MTSL,NASDAQ,0.01,91.58,1.092,181463,198158,0.0757,0.1138,11,1/7/2019,1/11/2019
MU,NASDAQ,0.01,2.21,45.2483,23599367,1067831238,1.2127,1.3333,133,1/7/2019,1/11/2019
MVBF,NASDAQ,0.01,5.39,18.5399,16349,303109,0.2772,0.5032,50,1/7/2019,1/11/2019
MVIS,NASDAQ,0.0001,1.47,0.6805,417831,284334,0.0374,0.0572,572,1/7/2019,1/11/2019
MWK,NASDAQ,0.01,13.68,7.3105,30681,224293,0.3235,0.5103,51,1/7/2019,1/11/2019
MXIM,NASDAQ,0.01,1.73,57.7865,1615809,93371947,1.0738,1.1969,120,1/7/2019,1/11/2019
MYFW,NASDAQ,0.01,6.73,14.8622,6986,103827,0.3262,0.3615,36,1/7/2019,1/11/2019
MYGN,NASDAQ,0.01,3.39,29.5352,1177747,34784993,2.8203,1.5294,153,1/7/2019,1/11/2019
MYL,NASDAQ,0.01,5.16,19.371,6528800,126469385,0.5343,0.719,72,1/7/2019,1/11/2019
MYOK,NASDAQ,0.01,1.86,53.7729,274130,14740765,1.3927,2.214,221,1/7/2019,1/11/2019
MYOS,NASDAQ,0.01,65.51,1.5266,8865,13533,0.0545,0.0813,8,1/7/2019,1/11/2019
MYRG,NASDAQ,0.01,3.12,32.0199,65706,2103900,0.7938,1.0324,103,1/7/2019,1/11/2019
MYSZ,NASDAQ,0.01,13.26,7.5396,238221,1796091,0.5061,0.5276,53,1/7/2019,1/11/2019
MYT,NASDAQ,0.0001,2.6,0.3852,339158,130644,0.0263,0.053,530,1/7/2019,1/11/2019
NAII,NASDAQ,0.01,10.13,9.8698,8423,83133,0.2945,0.3507,35,1/7/2019,1/11/2019
NAKD,NASDAQ,0.01,14.19,7.0473,21203370,149426509,1.7083,1.0681,107,1/7/2019,1/11/2019
NAOV,NASDAQ,0.01,35.61,2.808,11536,32393,0.1335,0.1855,19,1/7/2019,1/11/2019
NATH,NASDAQ,0.01,1.4,71.4042,5336,381013,1.237,1.7871,179,1/7/2019,1/11/2019
NATI,NASDAQ,0.01,2.36,42.293,578474,24465401,0.6816,0.7978,80,1/7/2019,1/11/2019
NATR,NASDAQ,0.01,11,9.0888,15952,144985,0.2465,0.3679,37,1/7/2019,1/11/2019
NAVI,NASDAQ,0.01,7.66,13.0585,1899142,24799946,0.3156,0.3743,37,1/7/2019,1/11/2019
NBEV,NASDAQ,0.01,30.23,3.3078,2153405,7123033,0.1337,0.2024,20,1/7/2019,1/11/2019
NBIX,NASDAQ,0.01,1.07,93.541,648427,60654510,1.8701,2.8848,288,1/7/2019,1/11/2019
NBL,NASDAQ,0.01,4.61,21.7084,5439867,118090809,0.5487,0.8487,85,1/7/2019,1/11/2019
NBLX,NASDAQ,0.01,3.73,26.7964,268606,7197674,0.6267,0.9509,95,1/7/2019,1/11/2019
NBN,NASDAQ,0.01,4.67,21.4147,17587,376620,0.3622,0.5909,59,1/7/2019,1/11/2019
NBRV,NASDAQ,0.01,46.42,2.1541,1253706,2700608,0.076,0.1386,14,1/7/2019,1/11/2019
NBSE,NASDAQ,0.01,20.32,4.9216,138826,683246,0.3094,0.4962,50,1/7/2019,1/11/2019
NBTB,NASDAQ,0.01,2.72,36.761,103960,3821674,0.4986,0.6937,69,1/7/2019,1/11/2019
NCBS,NASDAQ,0.01,1.53,65.3234,25830,1687303,0.835,1.444,144,1/7/2019,1/11/2019
NCMI,NASDAQ,0.01,12.95,7.7197,388757,3001087,0.1472,0.2137,21,1/7/2019,1/11/2019
NCNA,NASDAQ,0.01,12.18,8.21,77010,632252,0.388,0.8198,82,1/7/2019,1/11/2019
NCSM,NASDAQ,0.01,41.45,2.4128,49012,118256,0.15,0.2168,22,1/7/2019,1/11/2019
NCTY,NASDAQ,0.01,95.64,1.0456,136771,143008,0.0413,0.0729,7,1/7/2019,1/11/2019
NDAQ,NASDAQ,0.01,1.01,99.4649,708201,70441142,1.4235,1.8352,184,1/7/2019,1/11/2019
NDLS,NASDAQ,0.01,15.97,6.2629,396024,2480259,0.1903,0.3147,31,1/7/2019,1/11/2019
NDRA,NASDAQ,0.01,70.8,1.4124,74857,105728,0.0629,0.1225,12,1/7/2019,1/11/2019
NDSN,NASDAQ,0.01,0.71,141.0516,165795,23385650,2.2256,3.2012,320,1/7/2019,1/11/2019
NEO,NASDAQ,0.01,4.42,22.6334,798195,18065867,0.6678,0.9002,90,1/7/2019,1/11/2019
NEOG,NASDAQ,0.01,1.47,68.1276,210956,14371926,1.513,1.7935,179,1/7/2019,1/11/2019
NEON,NASDAQ,0.01,38.96,2.5667,8699,22328,0.1051,0.1517,15,1/7/2019,1/11/2019
NEOS,NASDAQ,0.01,63.56,1.5733,183814,289195,0.0718,0.1205,12,1/7/2019,1/11/2019
NEPH,NASDAQ,0.01,13.4,7.4621,13466,100485,0.3473,0.509,51,1/7/2019,1/11/2019
NEPT,NASDAQ,0.01,22.97,4.3535,1000035,4353652,0.1769,0.274,27,1/7/2019,1/11/2019
NERV,NASDAQ,0.01,15.64,6.393,347983,2224655,0.32,0.3444,34,1/7/2019,1/11/2019
NESR,NASDAQ,0.01,13.49,7.4113,182900,1355527,0.1523,0.2835,28,1/7/2019,1/11/2019
NETE,NASDAQ,0.01,22.82,4.382,351928,1542148,0.3115,0.3398,34,1/7/2019,1/11/2019
NEWA,NASDAQ,0.01,16.38,6.1065,8966,54751,0.1983,0.2028,20,1/7/2019,1/11/2019
NEWT,NASDAQ,0.01,4.53,22.077,120366,2657320,0.3258,0.4495,45,1/7/2019,1/11/2019
NEWTL,NASDAQ,0.01,3.89,25.6805,20514,526810,0.1094,0.1473,15,1/7/2019,1/11/2019
NEXT,NASDAQ,0.01,17.89,5.5898,23030,128733,0.193,0.352,35,1/7/2019,1/11/2019
NFBK,NASDAQ,0.01,6.3,15.8823,119636,1900095,0.1777,0.2774,28,1/7/2019,1/11/2019
NFE,NASDAQ,0.01,6.56,15.2393,121807,1856253,0.4357,0.7415,74,1/7/2019,1/11/2019
NFIN,NASDAQ,0.01,10.2,9.8021,92939,910997,0.0203,0.0091,1,1/7/2019,1/11/2019
NFINU,NASDAQ,0.01,9.92,10.0805,148220,1494132,0.0139,0.0228,2,1/7/2019,1/11/2019
NFLX,NASDAQ,0.01,0.33,302.7438,8554920,2589948989,7.2611,8.7069,871,1/7/2019,1/11/2019
NFTY,NASDAQ,0.01,2.96,33.8377,810,27409,0.4719,0.1047,10,1/7/2019,1/11/2019
NGHC,NASDAQ,0.01,4.31,23.2078,235251,5459658,0.36,0.5069,51,1/7/2019,1/11/2019
NGHCN,NASDAQ,0.01,4.05,24.6643,22874,564171,0.1338,0.1917,19,1/7/2019,1/11/2019
NGHCO,NASDAQ,0.01,4.04,24.7481,19253,476475,0.1504,0.211,21,1/7/2019,1/11/2019
NGHCP,NASDAQ,0.01,3.98,25.1236,2990,75120,0.1351,0.2063,21,1/7/2019,1/11/2019
